iter	Logloss
0	0.6760224687
1	0.6601750359
2	0.6453667038
3	0.6314946087
4	0.619040515
5	0.6070723465
6	0.5960052297
7	0.5854195712
8	0.5755030469
9	0.5662877824
10	0.5578005186
11	0.549884237
12	0.5426234438
13	0.5357040404
14	0.5291845266
15	0.5229576938
16	0.5171886382
17	0.5118570132
18	0.5069047785
19	0.5020931322
20	0.4976832112
21	0.4935975463
22	0.4896693896
23	0.4861219081
24	0.4828794685
25	0.4797513049
26	0.4767169791
27	0.4737892497
28	0.4711010869
29	0.4685246606
30	0.4661705753
31	0.4641425513
32	0.46220399
33	0.4602760761
34	0.4584856605
35	0.4567246477
36	0.4552965803
37	0.453718562
38	0.452039424
39	0.4507474476
40	0.4494155127
41	0.448106219
42	0.446969976
43	0.4457493188
44	0.4446612646
45	0.4435878352
46	0.4425889682
47	0.4415313264
48	0.4406333343
49	0.4398919937
50	0.4392053893
51	0.4384472516
52	0.4378360357
53	0.4371795989
54	0.4366408037
55	0.4360035506
56	0.4354316505
57	0.434784515
58	0.4342775702
59	0.4338309912
60	0.4333048933
61	0.4328927043
62	0.4325011369
63	0.4320116013
64	0.4316084686
65	0.4312365745
66	0.4308321262
67	0.4305241471
68	0.4303000927
69	0.4300003439
70	0.4296550683
71	0.4292937297
72	0.4290227411
73	0.4287281018
74	0.4284733291
75	0.4281133674
76	0.4278628475
77	0.4276080136
78	0.4273863151
79	0.427008363
80	0.4267627079
81	0.4264337093
82	0.4261906854
83	0.4260430904
84	0.4257387522
85	0.4255035303
86	0.4252542648
87	0.4250161363
88	0.4248728553
89	0.4246074964
90	0.4244260928
91	0.4242071786
92	0.4240479571
93	0.4239044314
94	0.4237564998
95	0.4234829411
96	0.4232555518
97	0.4230720371
98	0.4229469608
99	0.4227584589
100	0.4226220009
101	0.4224862465
102	0.4222790505
103	0.4220481732
104	0.4219344786
105	0.4217623456
106	0.4216723322
107	0.4215623397
108	0.4213268118
109	0.4211831025
110	0.4210157119
111	0.4208395096
112	0.4206682639
113	0.4205257785
114	0.4203822833
115	0.4202979608
116	0.420165419
117	0.4200829016
118	0.4198588779
119	0.4196473679
120	0.4195872468
121	0.4194521961
122	0.4192765752
123	0.4191642879
124	0.4189989167
125	0.4187764533
126	0.4185956616
127	0.4184926144
128	0.418332781
129	0.4182320896
130	0.4181473999
131	0.4180348679
132	0.4179379704
133	0.4177773721
134	0.4176814231
135	0.4175947753
136	0.4174675572
137	0.4173705986
138	0.4172061146
139	0.4170865761
140	0.4170039975
141	0.4168833882
142	0.4168198403
143	0.4167322135
144	0.4165792947
145	0.4163901198
146	0.4163040227
147	0.4162930082
148	0.4161665856
149	0.4160756543
150	0.4160330341
151	0.4159355553
152	0.4158506821
153	0.4157903468
154	0.4157086861
155	0.4156275456
156	0.4155110055
157	0.4154270195
158	0.4153300915
159	0.4152326127
160	0.4151003157
161	0.4149967483
162	0.4148430341
163	0.4147816585
164	0.4146812119
165	0.4145978073
166	0.4145112206
167	0.4144108964
168	0.4143099603
169	0.4141568274
170	0.4140904647
171	0.4139595139
172	0.4138605971
173	0.413784199
174	0.4137297075
175	0.4136659149
176	0.4136128309
177	0.413525357
178	0.4135183505
179	0.4134134981
180	0.4133611177
181	0.4132937454
182	0.4132732461
183	0.4132239254
184	0.4131408879
185	0.413094535
186	0.4130639696
187	0.4129662154
188	0.4129091233
189	0.4128890218
190	0.4128741215
191	0.4128035366
192	0.4127227632
193	0.4126457531
194	0.4125615224
195	0.4125157508
196	0.412424483
197	0.4123349898
198	0.4122684129
199	0.4122522582
200	0.4121684558
201	0.4121679969
202	0.4121518728
203	0.4121232962
204	0.4120716196
205	0.4120523747
206	0.4120487032
207	0.4120160573
208	0.4119350085
209	0.4119117862
210	0.4118136343
211	0.4117205919
212	0.4116666512
213	0.4115523752
214	0.4114417707
215	0.4113667188
216	0.4113661986
217	0.411365342
218	0.4112874752
219	0.4112832529
220	0.4112500869
221	0.4112097308
222	0.4111965133
223	0.4111694359
224	0.4110823291
225	0.4109995976
226	0.4109905412
227	0.410972306
228	0.4109564573
229	0.4109339692
230	0.4109179369
231	0.410856133
232	0.4108408351
233	0.4107796431
234	0.4107260083
235	0.4106217066
236	0.4106073265
237	0.4104815159
238	0.4104727654
239	0.4104274222
240	0.4103838535
241	0.4102969915
242	0.4102451925
243	0.4101634707
244	0.4101542919
245	0.4101450825
246	0.4100777407
247	0.4100517341
248	0.410001312
249	0.4099994456
250	0.4099003146
251	0.4098980199
252	0.4098625898
253	0.409822662
254	0.4098210404
255	0.4098170324
256	0.4097594507
257	0.4097417969
258	0.4097204409
259	0.4097171059
260	0.409702634
261	0.409676964
262	0.4096135385
263	0.4095922437
264	0.4095264011
265	0.4094515022
266	0.4094503089
267	0.409435011
268	0.4094324103
269	0.4092982163
270	0.4092183302
271	0.4090955486
272	0.4090935292
273	0.4090892458
274	0.4090879302
275	0.409082943
276	0.4090122663
277	0.4090100328
278	0.409009635
279	0.409008656
280	0.4089728893
281	0.4089280662
282	0.4088908003
283	0.4088886279
284	0.4088356357
285	0.408799869
286	0.4087553824
287	0.4086885914
288	0.4086411677
289	0.4085646165
290	0.4085392524
291	0.4084332374
292	0.4084321359
293	0.4083531065
294	0.4083013075
295	0.4082101927
296	0.4081665016
297	0.4081469202
298	0.4080644334
299	0.4079901464
300	0.4079188272
301	0.4078852328
302	0.407846896
303	0.4078452744
304	0.4078164836
305	0.4076681849
306	0.4076520302
307	0.4076187112
308	0.4075872891
309	0.4075814453
310	0.4075428026
311	0.4074910647
312	0.407422132
313	0.4074216425
314	0.4074059773
315	0.4073892107
316	0.4073617355
317	0.4073579722
318	0.4072987384
319	0.4072926498
320	0.4072887029
321	0.4072852762
322	0.4072494177
323	0.4071962419
324	0.4070747452
325	0.4070716245
326	0.4070700641
327	0.4070304729
328	0.4069949203
329	0.406994339
330	0.4069485062
331	0.4069480779
332	0.4069249473
333	0.4069245802
334	0.406863174
335	0.4068610323
336	0.4068432561
337	0.40684243
338	0.406840992
339	0.4068386055
340	0.4067272055
341	0.4067260123
342	0.4066667173
343	0.4066046074
344	0.4065619566
345	0.4064889546
346	0.4064862928
347	0.4064860174
348	0.4064375534
349	0.4064348303
350	0.4064173906
351	0.4064169317
352	0.4064005628
353	0.4064001039
354	0.4063692019
355	0.4063671826
356	0.406301952
357	0.4062822788
358	0.4062696732
359	0.4062611675
360	0.4062585363
361	0.406187829
362	0.4061870335
363	0.4061123181
364	0.4061090137
365	0.4060712277
366	0.4060620795
367	0.4059740854
368	0.4059739631
369	0.4059141173
370	0.4058964023
371	0.4058779529
372	0.4058776469
373	0.405829703
374	0.405761168
375	0.4056867586
376	0.4056866362
377	0.4056772738
378	0.4056756829
379	0.4056283815
380	0.4055862814
381	0.405537389
382	0.405531178
383	0.4055240186
384	0.4055178076
385	0.405460073
386	0.4054469167
387	0.4054467943
388	0.4054381969
389	0.4054362999
390	0.4053478775
391	0.4053476022
392	0.4052598835
393	0.4052561814
394	0.4052004049
395	0.4051928477
396	0.4051818943
397	0.4051764176
398	0.4051762953
399	0.4051519715
400	0.4051517879
401	0.4051067506
402	0.4050493525
403	0.4049845503
404	0.4049520879
405	0.404821902
406	0.4047805669
407	0.404677795
408	0.4046777032
