iter	Passed	Remaining
403	10843	15996
404	10867	15966
405	10894	15938
406	10920	15910
407	10944	15879
408	10966	15846
409	10992	15818
410	11014	15784
411	11037	15752
412	11057	15716
413	11084	15689
414	11102	15651
415	11128	15622
416	11150	15588
417	11175	15559
418	11197	15527
419	11218	15492
420	11242	15462
421	11265	15429
422	11286	15394
423	11311	15366
424	11336	15338
425	11362	15309
426	11386	15280
427	11410	15249
428	11436	15222
429	11465	15199
430	11485	15163
431	11508	15131
432	11528	15096
433	11550	15063
434	11575	15034
435	11602	15008
436	11622	14973
437	11642	14937
438	11661	14902
439	11683	14869
440	11715	14849
441	11735	14814
442	11757	14783
443	11784	14757
444	11811	14731
445	11833	14699
446	11860	14673
447	11884	14643
448	11914	14621
449	11935	14587
450	11963	14562
451	11988	14534
452	12016	14510
453	12043	14483
454	12063	14449
455	12088	14421
456	12114	14394
457	12137	14363
458	12162	14335
459	12189	14309
460	12221	14289
461	12246	14260
462	12273	14235
463	12299	14208
464	12326	14182
465	12355	14158
466	12377	14126
467	12399	14095
468	12426	14069
469	12446	14035
470	12472	14008
471	12494	13976
472	12517	13946
473	12541	13917
474	12565	13888
475	12586	13855
476	12609	13825
477	12630	13792
478	12654	13764
479	12681	13738
480	12708	13712
481	12732	13683
482	12752	13650
483	12773	13618
484	12799	13591
485	12822	13561
486	12849	13535
487	12875	13509
488	12897	13477
489	12924	13451
490	12949	13424
491	12975	13397
492	13000	13369
493	13029	13346
494	13063	13326
495	13096	13308
496	13124	13282
497	13150	13255
498	13172	13224
499	13196	13196
500	13219	13166
501	13242	13136
502	13266	13108
503	13290	13079
504	13314	13050
505	13342	13026
506	13368	12999
507	13392	12970
508	13420	12945
509	13448	12920
510	13474	12894
511	13498	12866
512	13525	12839
513	13549	12811
514	13569	12779
515	13591	12748
516	13617	12722
517	13641	12693
518	13668	12667
519	13692	12639
520	13718	12612
521	13744	12585
522	13764	12553
523	13791	12528
524	13813	12497
525	13841	12472
526	13864	12443
527	13889	12416
528	13918	12392
529	13940	12362
530	13963	12333
531	13989	12306
532	14021	12285
533	14046	12257
534	14071	12230
535	14100	12206
536	14126	12179
537	14153	12153
538	14178	12126
539	14204	12099
540	14231	12074
541	14251	12043
542	14279	12017
543	14305	11991
544	14332	11965
545	14357	11938
546	14378	11907
547	14404	11881
548	14429	11853
549	14451	11823
550	14476	11796
551	14502	11770
552	14529	11744
553	14557	11719
554	14582	11692
555	14602	11661
556	14626	11632
557	14655	11609
558	14676	11578
559	14699	11549
560	14719	11518
561	14740	11488
562	14764	11460
563	14787	11431
564	14813	11405
565	14832	11373
566	14858	11347
567	14883	11319
568	14905	11290
569	14933	11265
570	14957	11237
571	14981	11210
572	15003	11180
573	15023	11149
574	15046	11121
575	15065	11089
576	15093	11065
577	15118	11038
578	15147	11013
579	15172	10987
580	15193	10957
581	15215	10928
582	15238	10899
583	15267	10875
584	15295	10850
585	15323	10825
586	15345	10796
587	15370	10769
588	15393	10741
589	15414	10712
590	15444	10687
591	15468	10660
592	15492	10633
593	15519	10607
594	15545	10581
595	15566	10551
596	15590	10523
597	15615	10497
598	15641	10471
599	15665	10443
600	15689	10416
601	15714	10389
602	15743	10364
603	15767	10337
604	15787	10307
605	15812	10280
606	15831	10250
607	15855	10222
608	15880	10195
609	15903	10168
610	15929	10141
611	15950	10112
612	15976	10086
613	16001	10059
614	16032	10036
615	16055	10008
616	16080	9981
617	16104	9954
618	16127	9926
619	16155	9902
620	16178	9873
621	16204	9847
622	16227	9819
623	16252	9793
624	16276	9765
625	16301	9739
626	16324	9711
627	16351	9686
628	16377	9659
629	16398	9630
630	16419	9601
631	16441	9573
632	16470	9549
633	16489	9519
634	16513	9492
635	16534	9463
636	16555	9434
637	16582	9408
638	16605	9381
639	16625	9352
640	16650	9325
641	16674	9298
642	16695	9269
643	16715	9240
644	16738	9212
645	16765	9187
646	16788	9159
647	16816	9134
648	16838	9106
649	16861	9079
650	16888	9053
651	16912	9027
652	16935	8999
653	16959	8972
654	16983	8945
655	17005	8917
656	17027	8889
657	17049	8861
658	17074	8835
659	17103	8811
660	17124	8782
661	17150	8756
662	17172	8728
663	17197	8702
664	17224	8676
665	17249	8650
666	17270	8622
667	17292	8594
668	17313	8566
669	17334	8538
670	17359	8511
671	17386	8486
672	17412	8460
673	17440	8435
674	17474	8413
675	17495	8385
676	17515	8356
677	17543	8331
678	17569	8305
679	17592	8278
680	17615	8251
681	17638	8224
682	17662	8197
683	17687	8171
684	17710	8144
685	17736	8118
686	17762	8092
687	17787	8066
688	17809	8038
689	17834	8012
690	17864	7988
691	17891	7963
692	17918	7937
693	17944	7912
694	17972	7887
695	18004	7863
696	18029	7837
697	18052	7810
698	18078	7784
699	18100	7757
700	18130	7733
701	18157	7707
702	18181	7681
703	18204	7654
704	18233	7629
705	18257	7603
706	18284	7577
707	18309	7551
708	18337	7526
709	18376	7505
710	18409	7482
711	18441	7459
712	18470	7434
713	18498	7409
714	18519	7381
715	18546	7356
716	18568	7328
717	18590	7301
718	18612	7274
719	18642	7250
720	18666	7223
721	18698	7199
722	18732	7177
723	18762	7152
724	18791	7127
725	18819	7102
726	18844	7076
727	18868	7049
728	18890	7022
729	18913	6995
730	18939	6969
731	18962	6942
732	18987	6916
733	19011	6889
734	19035	6863
735	19059	6836
736	19086	6811
737	19106	6783
738	19131	6756
739	19155	6730
740	19182	6704
741	19206	6678
742	19226	6650
743	19248	6623
744	19275	6597
745	19299	6571
746	19321	6543
747	19348	6518
748	19370	6491
749	19395	6465
750	19420	6439
751	19443	6412
752	19469	6386
753	19496	6360
754	19519	6333
755	19545	6308
756	19566	6280
757	19593	6255
758	19617	6228
759	19643	6203
760	19670	6177
761	19701	6153
762	19726	6127
763	19750	6100
764	19782	6076
765	19810	6051
766	19837	6026
767	19864	6000
768	19894	5976
769	19918	5949
770	19943	5923
771	19969	5897
772	19998	5872
773	20020	5845
774	20046	5819
775	20070	5793
776	20097	5767
777	20118	5740
778	20156	5718
779	20184	5693
780	20206	5666
781	20229	5639
782	20252	5612
783	20279	5587
784	20306	5561
785	20328	5534
786	20354	5508
787	20377	5482
788	20400	5455
789	20425	5429
790	20449	5403
791	20472	5376
792	20496	5350
793	20523	5324
794	20546	5298
795	20566	5270
796	20588	5244
797	20608	5216
798	20633	5190
799	20653	5163
800	20677	5137
801	20702	5111
802	20725	5084
803	20748	5057
804	20769	5031
805	20797	5005
806	20817	4978
807	20838	4951
808	20858	4924
809	20878	4897
810	20900	4870
811	20923	4844
812	20945	4817
813	20968	4791
814	20996	4766
815	21018	4739
816	21043	4713
817	21064	4686
818	21091	4661
819	21121	4636
820	21147	4610
821	21175	4585
822	21201	4559
823	21229	4534
824	21251	4507
825	21276	4481
826	21304	4456
827	21325	4430
828	21348	4403
829	21368	4376
830	21393	4350
831	21413	4323
832	21434	4297
833	21455	4270
834	21477	4244
835	21498	4217
836	21518	4190
837	21540	4164
838	21559	4137
839	21585	4111
840	21607	4085
841	21634	4059
842	21659	4033
843	21684	4008
844	21707	3981
845	21731	3955
846	21754	3929
847	21781	3904
848	21802	3877
849	21827	3851
850	21850	3825
851	21873	3799
852	21900	3774
853	21929	3749
854	21950	3722
855	21975	3696
856	21998	3670
857	22024	3645
858	22047	3618
859	22071	3592
860	22091	3566
861	22114	3540
862	22137	3514
863	22164	3488
864	22189	3463
865	22214	3437
866	22236	3411
867	22257	3384
868	22280	3358
869	22302	3332
870	22345	3309
871	22370	3283
872	22395	3258
873	22419	3232
874	22442	3206
875	22463	3179
876	22485	3153
877	22509	3127
878	22532	3101
879	22557	3076
880	22579	3049
881	22605	3024
882	22628	2998
883	22651	2972
884	22673	2946
885	22698	2920
886	22721	2894
887	22743	2868
888	22765	2842
889	22793	2817
890	22817	2791
891	22839	2765
892	22860	2739
893	22885	2713
894	22910	2687
895	22935	2662
896	22957	2636
897	22985	2610
898	23009	2585
899	23031	2559
900	23055	2533
901	23078	2507
902	23101	2481
903	23124	2455
904	23148	2429
905	23171	2404
906	23196	2378
907	23218	2352
908	23246	2327
909	23271	2301
910	23299	2276
911	23324	2250
912	23346	2224
913	23372	2199
914	23398	2173
915	23419	2147
916	23442	2121
917	23468	2096
918	23493	2070
919	23515	2044
920	23539	2019
921	23563	1993
922	23587	1967
923	23612	1942
924	23640	1916
925	23665	1891
926	23684	1865
927	23706	1839
928	23730	1813
929	23752	1787
930	23778	1762
931	23798	1736
932	23822	1710
933	23845	1685
934	23872	1659
935	23894	1633
936	23920	1608
937	23946	1582
938	23969	1557
939	23992	1531
940	24013	1505
941	24034	1479
942	24053	1453
943	24077	1428
944	24101	1402
945	24121	1376
946	24140	1351
947	24163	1325
948	24183	1299
949	24206	1274
950	24228	1248
951	24255	1222
952	24282	1197
953	24305	1171
954	24324	1146
955	24351	1120
956	24377	1095
957	24402	1069
958	24431	1044
959	24452	1018
960	24476	993
961	24500	967
962	24525	942
963	24556	917
964	24584	891
965	24608	866
966	24632	840
967	24652	814
968	24681	789
969	24702	763
970	24725	738
971	24753	713
972	24776	687
973	24797	661
974	24818	636
975	24842	610
976	24866	585
977	24889	559
978	24915	534
979	24937	508
980	24959	483
981	24985	457
982	25007	432
983	25031	407
984	25061	381
985	25084	356
986	25109	330
987	25135	305
988	25156	279
989	25177	254
990	25199	228
991	25221	203
992	25250	177
993	25270	152
994	25297	127
995	25318	101
996	25341	76
997	25369	50
998	25395	25
999	25420	0
